Transaction_Amount,Transaction_Type,Time_Since_Last,Account_Age,Transactions_Last_24h,Is_Fraud
477.0,2,2247.8275,106,9,0
2329.63,1,529.2986,112,8,0
3414.41,3,2489.445,34,9,0
1270.45,3,558.4518,20,14,1
680.03,2,1312.4369,82,27,0
630.96,1,1059.0771,89,12,0
4199.51,2,1702.7994,99,6,0
1486.97,3,367.5393,108,5,0
262.92,1,196.038,108,8,0
975.15,2,1331.7025,9,6,0
2018.58,3,915.4428,74,6,0
1682.86,0,360.0325,25,4,0
976.87,1,1358.3644,50,9,0
531.61,0,472.0762,5,7,0
850.04,0,2046.8871,57,10,0
422.65,1,1010.9655,103,3,1
525.04,0,331.1704,61,8,0
862.86,3,1217.8886,42,8,0
1041.21,0,537.2972,87,9,0
909.83,0,150.0704,82,16,0
2298.1,2,1216.3992,94,13,0
5749.44,1,3132.388,115,2,0
1232.5,2,1031.675,77,8,1
786.6,2,788.5509,73,10,0
1227.8,2,278.7638,49,8,1
837.86,1,820.2422,89,7,0
174.91,1,628.3017,31,16,0
3672.66,3,1872.3763,81,10,0
1278.63,3,512.9936,43,5,0
1933.83,1,987.0144,108,14,0
969.28,1,1323.4867,51,9,0
1156.95,2,1055.1601,68,5,0
556.25,2,1885.1793,95,12,0
458.4,0,2276.9889,98,5,0
1775.79,1,1425.1933,97,7,0
5845.67,1,1720.0939,36,26,0
2660.95,1,2108.6616,13,12,0
1942.67,3,726.2267,6,2,0
1325.02,0,2654.9244,61,8,0
562.95,1,1195.6411,3,5,0
915.98,3,5331.0359,111,8,0
772.85,0,483.134,77,8,0
906.13,2,1443.1275,46,6,0
3227.86,1,656.4267,29,12,1
2058.86,1,1088.8507,71,8,0
1006.48,0,2939.7045,107,9,0
584.8,2,697.6217,112,12,0
2295.45,2,465.1114,105,3,0
1683.34,3,247.4485,102,11,0
1407.0,0,1872.2168,88,9,0
1428.85,1,988.9943,29,6,0
498.9,0,560.6202,52,7,0
3400.22,0,193.6305,5,13,0
339.7,1,1025.7284,14,14,0
1849.09,2,1261.0975,44,8,0
1734.77,0,951.1456,33,11,0
428.13,2,1267.5382,75,11,0
75.28,1,1384.1379,119,20,0
1053.36,1,1640.0635,68,18,1
953.43,1,1755.6352,103,10,0
752.91,0,596.3611,109,13,1
2271.41,0,2319.8398,104,15,0
3296.39,1,2668.9159,39,6,0
1339.52,2,643.6411,117,17,0
607.56,1,1362.3201,69,8,0
837.01,3,1604.267,109,5,0
516.74,3,1295.4124,105,11,0
1257.93,3,802.8905,19,6,0
1585.17,1,1478.9286,92,8,0
716.04,2,488.6996,22,12,0
195.9,1,1103.6126,111,12,0
2804.77,3,780.6184,88,6,0
2344.26,3,935.7975,119,9,0
1491.26,3,1256.1658,87,6,0
750.31,0,3257.5044,48,6,0
3737.21,3,365.4314,116,10,0
2449.85,3,3402.1436,111,4,0
435.62,1,645.0886,101,14,1
280.57,0,437.9244,35,10,0
1844.58,3,764.0612,25,4,0
1221.77,3,663.6529,67,8,0
4163.31,0,297.3186,19,9,0
2498.64,2,532.525,55,16,1
4175.48,2,565.5817,16,7,0
1327.23,2,427.1493,15,4,0
1290.08,3,1058.09,55,13,0
386.04,1,959.638,15,9,0
571.12,1,2452.6099,47,12,0
2290.78,0,884.9502,6,7,1
1343.39,2,1094.8968,11,14,0
632.12,0,1955.0535,4,15,0
3317.17,3,1080.3024,87,12,0
1276.23,1,809.116,61,15,1
977.99,1,869.2572,28,13,0
1011.78,3,1040.9178,32,8,0
1194.19,3,757.249,84,11,0
291.82,0,494.5837,79,12,0
2505.54,2,1170.6852,114,8,0
458.68,0,2048.8974,33,11,0
926.37,0,806.7242,3,8,0
2274.74,2,359.108,18,8,0
2076.89,1,169.7857,100,6,1
1037.71,2,1500.419,62,11,0
2713.49,1,991.1677,107,4,0
2714.97,0,2151.9386,81,14,0
1796.46,1,5179.1074,12,9,0
991.06,3,838.6161,21,16,0
1854.11,1,625.1494,96,11,1
2595.68,2,721.8637,102,5,0
3032.4,3,548.1753,9,13,0
1069.3,1,1832.312,42,7,0
1939.15,0,1217.6027,16,5,0
136.49,1,1655.4055,36,7,0
879.83,3,1622.304,79,11,0
2323.46,1,1748.9843,100,9,0
1538.53,0,1926.1102,58,9,0
1069.41,1,359.7576,22,12,0
1196.37,3,1141.1606,56,8,0
1010.86,2,480.864,19,6,0
954.81,0,1417.1916,24,8,0
2068.16,2,1155.3652,40,9,0
2505.44,2,893.2303,92,12,1
1185.43,2,572.3312,37,10,0
1387.16,0,931.7467,24,13,0
622.04,3,636.3569,63,11,0
250.94,2,2419.6485,10,19,0
2489.34,0,1354.5621,33,3,0
944.81,1,1460.2858,114,18,1
685.1,2,2317.8208,86,8,1
709.19,3,1220.7194,59,5,0
1531.14,3,2411.3249,25,19,0
1638.33,3,1213.3222,75,5,0
1485.95,2,1147.7783,89,6,0
1314.79,1,274.8814,1,24,0
812.33,0,2294.3542,85,11,0
819.2,3,709.8154,35,12,0
1596.45,3,934.6538,81,22,0
435.28,2,1152.6907,15,11,0
1993.59,0,1765.9114,3,13,0
2607.55,3,1749.9183,49,10,0
1629.53,0,907.9991,23,18,0
95.83,1,1552.2288,94,19,0
127.73,3,1199.7138,54,10,0
862.07,3,1303.2747,66,8,0
736.73,3,1449.2008,81,5,0
739.43,3,2051.0756,78,9,0
1129.59,2,331.7187,84,10,0
610.34,1,167.1649,85,12,0
1950.27,0,476.6584,89,7,0
3830.23,3,1058.8089,84,13,0
443.2,1,887.6556,14,23,0
3501.97,2,705.0821,81,5,0
2339.25,0,1231.6736,30,8,0
1550.28,2,2013.3077,7,11,0
860.64,0,958.0019,119,12,0
1566.2,0,742.652,110,6,0
1556.96,1,1367.5173,90,6,0
769.86,3,1856.5881,66,12,0
792.28,0,737.0833,49,9,0
1360.27,1,485.5401,78,17,1
357.06,1,119.7091,44,6,1
340.41,0,229.3081,9,12,0
1862.03,1,1072.4316,96,17,0
830.77,1,1768.7639,18,18,0
125.29,0,388.9796,79,12,0
3682.87,0,777.5421,93,8,0
809.81,0,462.6918,4,14,1
591.62,2,638.1309,53,8,0
1423.17,3,2713.7021,116,8,0
826.21,3,1603.1101,111,13,0
1951.8,3,58.7955,72,12,0
117.83,2,1234.6681,89,12,0
3085.38,3,1116.8214,74,8,0
1256.47,2,848.4653,62,11,0
1049.02,2,1325.175,37,13,0
1226.46,1,1095.9659,93,16,1
194.92,1,1859.2478,62,8,0
2316.96,3,1608.5017,29,11,0
2825.21,3,460.6615,61,14,1
1654.12,3,1950.0407,103,3,0
1419.76,3,537.0188,99,10,0
1185.71,3,724.0867,46,13,0
1187.1,1,1308.4786,3,5,0
514.05,0,699.845,14,15,0
775.5,0,563.2857,71,12,0
794.01,0,1167.8191,45,6,0
3683.74,2,1043.9686,48,6,0
69.8,1,905.6635,38,12,0
814.91,3,3534.4736,33,10,0
1891.23,2,900.6728,26,11,0
471.77,3,315.097,37,11,0
2846.69,0,1207.7487,9,13,0
778.75,3,264.0771,9,15,0
1048.7,3,1868.0511,43,10,0
633.18,0,1592.5356,60,5,0
2324.79,1,1914.1124,69,6,0
8205.79,3,919.9134,79,14,0
944.13,0,525.8838,43,7,0
4660.59,1,885.2547,50,8,0
1248.5,1,279.3643,117,9,0
2238.71,1,1950.2074,103,14,0
1799.52,1,674.3856,114,11,0
2919.12,2,1487.9798,118,4,0
1051.31,2,274.8421,119,8,0
1359.68,0,1304.9926,10,5,0
773.32,3,1094.6097,97,27,0
2202.5,1,1913.8034,60,11,0
3226.4,3,950.5888,29,10,0
579.04,3,2088.4604,66,4,0
405.52,3,1240.9486,59,8,0
185.2,1,842.4016,35,18,0
517.69,0,432.2134,57,9,0
1245.69,0,860.4184,98,12,0
3837.73,3,816.3934,63,9,0
1600.74,3,1051.9013,107,4,0
385.79,1,1453.5261,91,35,0
1580.53,1,1338.2155,70,7,0
3585.37,0,724.9749,64,9,0
593.03,3,621.5936,72,5,0
856.62,3,1137.3478,5,11,1
964.19,2,936.3789,16,12,0
1351.77,1,1502.9495,102,13,0
861.83,3,692.3687,22,10,0
1329.91,2,259.1923,31,12,0
2635.91,2,1656.452,3,10,0
697.27,0,1303.3704,38,7,0
324.7,1,426.1013,112,6,0
4640.95,2,1521.3498,78,9,0
1685.98,3,575.9835,48,13,0
393.15,0,2070.3308,64,17,0
1913.95,0,386.0851,30,8,0
276.02,2,2469.8035,34,4,0
614.11,2,1186.3025,72,8,0
609.31,1,1637.7884,110,21,0
2711.56,3,1426.5002,98,9,0
263.68,3,506.85,62,12,0
2410.98,3,1111.4581,76,10,0
529.79,2,389.0367,107,11,0
300.05,2,2006.2935,21,16,0
987.16,0,1123.7149,3,11,0
593.89,3,514.3282,39,7,0
4238.33,1,528.4812,60,12,0
1317.59,3,872.8294,18,10,0
1359.34,2,2122.4986,67,24,0
1524.9,1,1078.3315,44,16,0
691.71,1,793.3726,42,12,0
1535.49,2,575.6456,37,9,0
2246.64,1,254.9867,23,7,0
1079.39,2,329.1336,108,16,1
2123.2,2,1359.5699,9,10,0
861.8,2,687.4984,57,12,0
1285.49,1,959.906,2,2,0
1432.57,2,353.6974,10,5,0
390.19,0,1976.4663,64,9,0
1033.32,3,1297.9503,8,21,0
442.97,3,1209.896,78,11,1
1862.62,1,1008.9242,108,9,0
1290.07,3,519.1811,3,6,0
1325.91,3,909.8543,65,12,1
1336.75,3,897.8945,66,5,0
365.73,2,883.9867,12,6,0
357.8,0,1021.7665,101,4,0
1519.33,2,2042.6202,66,10,0
1600.54,2,1522.3552,21,10,0
139.81,0,712.6365,78,3,0
629.05,2,282.7327,25,4,0
2170.01,1,665.458,13,10,0
855.77,0,409.4689,3,9,0
1652.32,1,347.471,78,9,0
446.47,3,263.9812,102,8,1
923.73,1,1748.4983,100,13,0
1042.26,3,1165.4054,113,6,0
2609.93,3,1194.769,68,7,0
663.17,2,1107.1495,59,8,0
545.09,2,833.5358,63,17,0
482.22,2,2511.9182,28,6,0
9556.48,3,446.8864,72,13,1
999.47,0,1773.8228,22,8,0
459.2,0,860.4487,81,10,0
342.4,0,869.3952,1,7,0
1790.09,1,1260.3767,36,5,0
713.42,1,1444.6688,68,23,1
1072.51,2,482.3822,99,8,0
2813.45,3,1027.3464,98,3,0
145.71,3,353.0176,102,8,0
916.94,3,1937.2366,80,6,0
1351.79,3,1074.3599,93,6,0
665.2,1,898.3093,22,7,0
697.97,2,459.1989,5,9,0
743.8,0,846.0769,108,4,0
1834.38,0,1489.8221,10,6,0
435.41,0,328.1865,12,10,0
441.12,2,969.7922,29,8,0
2564.1,3,739.0501,19,10,0
246.64,1,1323.4273,60,7,0
1267.9,3,693.1529,72,5,0
778.28,0,973.9826,60,15,0
1532.89,2,420.2217,8,8,0
858.65,0,2184.511,37,15,0
253.42,2,659.6168,41,14,0
2027.89,0,1177.8325,98,8,0
426.21,0,1755.4077,65,13,0
3313.03,3,991.7025,58,13,0
1143.07,2,356.5972,20,8,0
1293.68,0,2521.9521,99,6,0
2338.61,3,672.3292,16,4,0
1141.02,1,2201.5987,97,3,0
561.72,2,1679.9917,15,7,0
842.76,3,508.2518,90,6,0
2422.26,3,590.9208,92,13,0
1985.39,1,1489.5602,91,7,0
688.47,1,1140.2129,79,9,0
333.98,2,496.401,88,4,1
39.4,0,371.4091,46,14,0
2147.27,3,1393.6683,40,4,0
364.17,1,241.8444,78,12,0
1379.51,3,907.9327,27,25,0
1482.11,0,1452.3808,91,12,0
2828.21,3,1401.9319,71,7,0
6055.84,2,1517.5894,74,11,0
1190.76,1,2586.5447,112,9,0
2244.61,2,761.6355,67,4,0
1134.8,2,764.229,87,14,0
1143.49,0,1463.6636,61,5,0
2466.86,1,3183.4975,63,5,0
3008.99,1,1518.6439,102,15,0
2215.29,1,1527.6838,61,17,0
2639.83,1,480.9247,77,10,0
713.9,1,561.9638,86,10,0
393.88,3,606.1546,19,13,0
1581.13,1,1908.2761,117,6,0
3041.81,1,415.3989,55,12,0
3701.74,2,1672.1013,55,7,0
2501.86,0,577.7496,112,29,1
1523.41,0,1319.3192,87,7,0
2047.99,3,1652.4455,92,7,0
335.66,1,645.5275,64,15,0
1109.49,1,938.1715,65,11,0
361.08,3,1452.9889,67,2,0
658.95,0,616.6597,59,19,0
767.18,1,699.1336,60,6,0
1787.73,3,226.6907,21,7,0
3908.25,1,304.7943,47,18,1
3973.69,0,1278.0358,85,19,0
1701.13,3,685.9035,10,14,0
1648.18,2,1053.9089,90,8,1
2740.32,0,294.5449,25,5,1
3246.56,2,75.0215,42,16,1
2154.85,2,521.0254,48,18,0
446.49,3,1646.5797,77,13,0
2567.26,2,1391.895,22,22,0
1783.95,0,1288.6233,67,8,0
762.19,3,4333.4837,109,7,0
1069.66,3,935.6975,26,8,0
802.72,1,494.1492,34,9,0
986.17,3,2148.9531,12,6,0
735.25,0,1809.127,13,8,0
3491.38,0,766.3069,119,5,0
638.77,3,508.6089,85,3,0
2013.63,0,2118.3867,115,9,0
553.05,1,503.2349,61,3,0
1881.47,1,1243.3421,54,11,0
4522.13,1,1164.5602,84,15,0
1161.14,3,504.7581,4,18,0
1583.92,1,1288.9811,43,13,0
3407.83,0,2047.1631,119,16,0
392.86,0,915.8544,33,12,0
210.49,2,782.429,70,15,0
2018.57,0,954.4123,17,15,0
1951.37,3,2838.5478,76,8,0
883.89,2,1342.2808,50,10,0
1960.34,3,1144.748,61,14,0
3400.16,3,1491.8155,27,5,0
1498.03,3,481.2968,49,11,1
1641.95,3,986.6285,100,7,0
634.1,1,143.6039,7,13,1
2506.1,1,1924.4396,102,13,0
1585.38,1,892.7845,10,14,0
3266.03,0,1926.2433,54,17,1
774.32,0,704.0169,62,10,0
230.46,3,1117.9711,38,17,0
567.06,2,365.6696,101,13,0
488.81,0,775.4823,53,5,0
1621.07,1,1459.6637,113,3,0
3743.96,3,2164.5009,28,10,0
1605.15,0,786.5738,118,6,0
932.16,2,533.3118,9,13,0
1904.37,2,609.3532,57,7,0
1211.84,0,553.7836,77,6,1
3306.6,2,4906.8401,66,7,0
2751.22,2,363.497,89,19,0
257.86,1,2087.7677,14,7,0
829.81,3,989.5199,9,7,0
457.59,3,758.0778,9,32,0
1334.32,1,481.9895,53,17,0
2031.19,3,655.6674,80,8,0
2466.64,3,2060.9434,109,20,0
875.22,3,1198.2079,94,4,0
982.95,2,2140.1832,71,6,0
428.02,2,382.7092,115,11,0
1027.15,0,298.3639,51,6,0
3771.17,2,485.3978,23,18,0
696.06,1,1152.4457,119,8,0
695.68,1,1501.6448,8,7,0
7539.55,2,2910.5048,78,21,0
1355.65,1,4350.3307,19,13,0
1465.9,0,466.6139,60,2,0
198.1,0,856.1627,31,14,0
2337.73,1,721.0703,117,7,0
1892.28,1,1659.0781,56,7,0
2408.7,2,688.8479,6,9,0
66.55,3,660.2789,97,20,0
2301.68,2,241.6985,82,20,0
862.93,2,1707.9753,31,6,0
308.17,0,2391.6787,76,6,0
1678.09,0,178.3062,102,26,1
1184.12,3,1334.7015,29,7,0
4749.05,1,957.0006,49,8,0
1970.45,1,2540.1477,107,9,0
802.77,2,2804.1785,78,7,0
1130.12,1,2818.1817,78,12,0
1838.41,2,1631.006,35,11,0
671.81,0,1818.7146,100,10,0
1124.69,0,3051.6454,91,5,0
1030.78,3,462.0849,86,14,0
3536.59,0,1428.3763,35,23,1
866.61,1,1274.0888,57,6,0
472.24,0,211.8542,74,14,0
195.04,0,1730.4458,89,6,0
1835.47,3,2741.5128,103,12,0
1141.75,3,538.0202,70,10,0
592.76,2,752.6431,65,7,1
581.17,2,654.0909,40,8,0
316.36,3,1000.79,34,9,0
1451.22,1,526.879,94,7,0
1398.86,3,379.3868,72,5,0
994.3,1,889.5007,117,12,0
2081.05,1,593.6444,84,8,0
2027.96,1,163.7939,83,13,0
1751.65,2,865.2234,89,8,1
896.49,3,1397.5886,101,6,0
306.79,2,815.6369,61,11,0
564.21,0,273.1935,101,6,0
1338.06,0,831.2005,23,7,0
820.68,1,986.6287,84,13,0
1998.23,1,340.3124,57,15,1
1538.26,2,732.5378,23,10,0
552.41,0,461.4574,64,7,0
489.21,2,1019.3628,93,7,0
332.17,3,622.1687,1,13,0
843.12,0,3907.6072,15,13,0
604.81,2,1954.5998,50,11,0
3282.12,3,1223.997,9,13,0
230.2,0,857.3231,98,10,0
5319.9,2,1442.041,76,14,0
976.12,3,720.4266,61,5,0
508.79,3,1038.5591,16,9,0
1938.83,0,1256.7139,102,8,0
1697.66,3,2026.067,25,6,0
1402.17,0,594.822,4,9,0
552.05,1,280.6362,87,5,0
1282.35,1,564.6804,117,7,0
2158.58,0,1474.0257,27,15,0
90.33,1,505.2083,3,16,0
1167.32,3,1896.2893,103,9,0
1286.1,2,1957.9301,114,6,0
1611.79,1,629.2359,106,7,0
923.69,1,254.5321,95,8,0
714.51,2,2204.4678,71,16,0
1064.41,0,473.5887,57,11,0
288.9,2,997.7266,29,9,0
3277.78,3,893.8868,51,7,0
1379.72,2,2544.3066,68,12,0
7664.93,1,431.5757,2,13,0
2542.7,1,1598.5264,90,3,0
6481.19,1,739.7131,93,11,1
121.84,2,277.0688,49,11,0
260.87,2,1636.6798,75,9,0
647.99,3,967.9257,64,11,0
565.28,0,2359.3781,103,13,0
1326.39,3,475.5133,57,12,0
702.57,2,215.1746,39,6,0
1671.02,1,3123.1938,119,9,0
800.47,1,522.9733,104,7,0
579.23,2,870.4856,82,16,0
1964.18,3,236.6853,49,8,0
1166.82,3,605.9484,64,6,1
430.76,0,1437.8063,55,5,0
1798.2,2,638.3928,44,27,1
425.1,2,5590.72,59,9,0
1273.74,3,874.6064,41,10,1
2929.51,0,1624.8085,69,6,0
112.6,0,734.7347,107,4,0
1221.39,3,726.6266,60,6,0
990.5,2,3978.1726,59,13,0
824.55,1,1287.0944,46,9,0
1454.62,3,368.8416,90,11,0
1135.65,0,575.9689,117,7,1
3958.41,3,1116.229,95,8,1
1746.01,1,1609.6696,42,7,0
1684.27,2,1422.9095,96,14,1
1271.08,0,1322.8144,22,7,0
808.78,1,1071.4788,81,11,0
3561.81,0,806.8494,6,7,0
416.34,2,365.3592,34,14,0
2248.33,3,1195.0826,62,11,0
386.95,2,152.7157,34,7,0
9745.08,3,572.0078,33,6,1
662.92,2,869.7269,81,16,0
3617.46,2,140.06,18,5,1
1449.16,0,596.3838,117,17,0
1142.6,2,593.9397,25,8,0
762.9,3,1599.3413,82,8,0
2431.49,1,307.5065,80,22,1
2659.37,1,3439.9783,18,13,0
1364.47,2,707.1688,114,9,0
1716.62,1,459.0905,82,8,1
951.49,2,1435.2293,103,8,0
1573.57,2,1247.1483,58,11,0
1695.1,3,786.2807,77,7,0
544.24,0,1659.4757,35,8,0
886.83,2,1852.3853,13,5,0
708.34,0,1085.6604,56,11,0
873.72,0,280.4914,12,5,0
3099.47,2,1219.678,118,7,1
1662.86,2,1224.3056,52,13,0
2849.03,0,1738.9666,25,6,0
5368.38,2,1561.4216,102,28,1
1881.38,2,658.522,34,8,0
1291.28,2,569.3517,70,17,1
3275.42,1,1158.9127,56,8,0
1150.64,2,680.2887,113,20,0
1307.5,1,53.952,28,7,1
1211.38,2,1557.5696,44,6,0
1312.27,0,2697.8721,97,14,0
4153.12,3,1039.8212,97,7,0
714.68,3,443.6407,67,16,0
895.8,1,2404.1205,48,13,0
921.45,1,1430.0668,65,8,0
2229.56,0,1814.6574,38,5,0
2003.17,0,814.4116,92,11,0
141.45,3,1394.9584,59,9,0
518.21,3,831.0086,105,13,0
698.73,1,1011.3092,36,10,0
414.01,1,357.4036,117,7,0
1048.15,2,466.2796,64,6,0
176.74,3,555.8645,115,8,0
1598.43,1,1669.6126,26,9,0
123.15,3,1008.1056,17,11,1
1841.76,1,1415.7455,112,11,0
4512.21,0,1620.6537,71,8,0
2431.61,2,448.2357,44,5,0
455.33,3,318.0517,33,7,0
2363.63,3,759.1913,97,4,0
2461.81,3,1803.9403,65,4,0
1207.3,2,836.1172,13,13,0
1961.73,2,1038.2699,45,9,0
99.19,3,1040.3628,103,6,0
2678.15,1,692.5536,92,22,0
2422.85,0,658.7383,105,16,0
583.83,2,574.1256,30,7,0
69.9,3,118.8047,49,9,0
732.92,3,2018.0467,89,9,0
311.07,1,845.044,31,16,0
3121.05,1,1127.5205,104,19,0
456.13,0,2046.0615,31,11,0
3015.23,2,423.5887,93,9,0
347.27,2,383.3501,113,2,0
579.05,0,432.3439,86,13,0
1996.51,2,1348.9448,4,6,0
2082.65,1,1015.4006,23,16,0
910.48,3,383.8104,55,17,0
2177.36,1,2588.4825,34,12,0
4340.3,0,306.9353,18,10,0
3289.52,0,575.3131,14,8,0
1376.41,1,354.878,46,5,0
860.84,0,491.9982,81,5,0
856.19,0,3769.028,101,11,0
4138.74,0,432.286,4,9,0
1037.99,0,529.5676,102,16,1
1242.6,2,1548.0128,57,8,0
1146.4,2,1493.5207,93,7,0
576.3,3,4228.029,83,4,0
1186.49,0,714.1028,27,12,0
1327.05,1,1067.484,64,7,0
1993.61,2,840.6467,81,12,0
4044.21,2,1418.4601,55,12,0
1193.08,2,1426.6661,86,10,0
289.62,3,1418.0187,34,6,0
1743.84,1,1500.1196,55,8,0
963.86,3,355.6836,109,16,1
1516.36,1,1584.9797,116,11,0
110.7,1,1081.6363,39,14,0
1392.29,2,3207.4918,108,7,0
1303.05,1,1368.4875,45,14,0
1571.44,2,1446.7556,39,5,0
126.98,0,1438.8403,57,9,0
501.27,1,451.7866,84,11,0
785.38,3,2009.148,74,5,0
1334.59,1,1778.3019,95,18,0
514.36,1,1539.3222,2,11,0
371.51,0,1638.9909,18,5,0
2671.65,0,717.4861,95,3,1
1800.74,1,1619.7807,12,4,0
1719.22,2,1457.9772,78,7,0
225.77,3,1744.4987,2,12,0
1570.06,0,842.0256,76,8,0
1336.04,2,2896.9808,55,8,0
1427.5,1,626.6542,54,14,0
1700.08,0,386.1997,27,7,0
1000.6,3,1955.1998,73,9,0
753.19,1,1183.3862,51,10,0
1648.83,1,687.7491,55,6,0
4284.64,3,524.3135,41,11,1
1778.58,0,534.2629,31,8,0
138.47,0,2950.7562,92,8,0
2229.41,3,1069.9353,14,7,1
1639.41,2,1596.9807,87,14,0
3606.25,2,2329.5311,80,8,0
3107.45,1,571.3327,65,3,1
253.13,2,940.541,13,15,0
2772.74,2,665.063,54,11,0
1688.27,2,1125.2547,29,13,0
920.44,0,809.4382,71,11,0
1570.45,3,251.9837,113,15,1
493.88,1,460.2701,96,12,0
469.61,2,641.8432,53,8,0
940.22,2,4216.0477,104,11,0
1374.01,1,648.6629,61,15,0
1424.54,3,1226.253,4,16,0
1542.5,0,1282.9188,104,7,0
950.96,0,1032.3153,116,6,0
2159.39,0,461.8427,71,3,0
1758.66,1,1181.8343,70,6,0
336.72,0,1629.8296,74,15,0
1787.0,2,809.502,103,9,0
195.18,3,2951.2311,53,7,0
1889.47,3,1114.1967,108,16,1
588.33,0,562.913,118,4,0
352.27,1,1407.8547,119,18,0
959.93,1,915.0167,53,13,0
1626.98,1,618.6305,30,7,0
522.75,2,957.0681,107,5,0
